,name,categories,lat,lng
55,Hoppzak,Bar,52.079060012061696,4.307917936850198
56,New Fat Kee,Chinese Restaurant,52.07610208430733,4.313226370869761
57,Juni Café,Restaurant,52.076651,4.306936
58,CUP,Coffee Shop,52.074311122340305,4.348166595710354
59,Lange Voorhout,Park,52.082882657564014,4.313677615132093
60,Restaurant Elea,Restaurant,52.05538,4.33406
61,Simonis in de stad,Seafood Restaurant,52.07653316727345,4.314455702530105
62,Bleyenberg,Bar,52.07515671190493,4.308803410753149
63,Coffee Company,Coffee Shop,52.07999048122977,4.3175056526122475
64,Elpidio Enoteca,Italian Restaurant,52.06698741036029,4.363057725508946
65,Haagse Bos,Forest,52.09011102801811,4.336120490632858
66,Chanel in bijenkorf,Department Store,52.07647664334084,4.312526918515611
67,Pathé Spuimarkt,Multiplex,52.07737704309452,4.315091713975176
68,Huppel The Pub,Beer Bar,52.07907147752139,4.3073422022559855
69,Coffee Works,Coffee Shop,52.068292914082896,4.364273104358516
70,Anne&Max,Coffee Shop,52.07789218467923,4.307181977534977
71,Michel,Bakery,52.07896748934948,4.307373346961797
72,Full Moon City,Dim Sum Restaurant,52.07521375284782,4.311710467166715
73,Hotel Des Indes,Hotel,52.0839331,4.3132461
74,Vavoom!,Cocktail Bar,52.075889071604315,4.308869448158596
75,Bookstor,Café,52.08163397854245,4.306802477394971
76,Theater Diligentia,Theater,52.08147044237277,4.310199506205044
77,Brasserie de Koepel,Restaurant,52.069901246726616,4.36679951769029
78,Queru,Mexican Restaurant,52.07863,4.306097
79,De Zwarte Ruiter,Café,52.07577883476881,4.30900833081457
80,Pathé Buitenhof,Multiplex,52.07865361292251,4.310772287003651
81,Korzo,Theater,52.07869044103159,4.305698797802772
82,Grote Kerk Den Haag,Church,52.07754478771705,4.307152680397573
83,Palmette,French Restaurant,52.07995200813875,4.309962746327913
84,Giuliano's,Italian Restaurant,52.07678393251465,4.307885749087519
85,"Central Park, by Ron Blaauw",Restaurant,52.07002245396324,4.369635305089838
86,Grote Markt,Plaza,52.075763436003186,4.308991427825259
87,Herenstraat,Plaza,52.068769650685354,4.366154011014525
88,Lola Bikes and Coffee,Bike Shop,52.08256270447694,4.305579165135724
89,Kua,Mexican Restaurant,52.07863800254836,4.30446911567891
90,Kaafi,Café,52.07867506909698,4.306184160630331
91,Bar & Restaurant Milú,Restaurant,52.0782222658382,4.307830543797651
92,SET Restaurant,Japanese Restaurant,52.07703658730019,4.3078281372869185
93,Hug the Tea,Restaurant,52.07879,4.30733
94,Noony's Lunchroom,Sandwich Place,52.07628327732348,4.357976496274366
95,Villa la ruche,Restaurant,52.064057007533584,4.352773224037282
96,Station Den Haag Centraal,Train Station,52.08121937964098,4.32461878275475
97,Starbucks,Coffee Shop,52.07685887119675,4.312725672281938
98,Hometown Coffee,Coffee Shop,52.07862532126274,4.310432408854872
99,Zwembad Overbosch,Pool,52.08967974757413,4.346831215228969
